Level,Text,Href,FullURL,ParentPath,FullPath,Title,ChildrenCount
2,Extension of AGM,/content/mca/global/en/data-and-reports/rd-roc-info/extension-agm.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/rd-roc-info/extension-agm.html,Data & Reports > RD/ROC Information,Data & Reports > RD/ROC Information > Extension of AGM,,0
2,Notice Of Strike-Off Under LLP Rule 37,/content/mca/global/en/data-and-reports/rd-roc-info/strike-off-notice.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/rd-roc-info/strike-off-notice.html,Data & Reports > RD/ROC Information,Data & Reports > RD/ROC Information > Notice Of Strike-Off Under LLP Rule 37,,0
2,RD Adjudication Orders,/content/mca/global/en/data-and-reports/rd-roc-info/rd-adjudication-orders.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/rd-roc-info/rd-adjudication-orders.html,Data & Reports > RD/ROC Information,Data & Reports > RD/ROC Information > RD Adjudication Orders,,0
2,RD Compounding orders,/content/mca/global/en/data-and-reports/rd-roc-info/rd-Compounding-orders.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/rd-roc-info/rd-Compounding-orders.html,Data & Reports > RD/ROC Information,Data & Reports > RD/ROC Information > RD Compounding orders,,0
0,Help & FAQs,/content/mca/global/en/help-faq.html,https://www.mca.gov.in/content/mca/global/en/help-faq.html,,Help & FAQs,,4
1,FAQs,/content/mca/global/en/help-faq/faqs.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs.html,Help & FAQs,Help & FAQs > FAQs,,14
2,E-Filing,/content/mca/global/en/help-faq/faqs/e-filing2.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/e-filing2.html,Help & FAQs > FAQs,Help & FAQs > FAQs > E-Filing,,4
3,Steps for E-Filing,/content/mca/global/en/help-faq/faqs/e-filing2/steps-for-e-filing.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/e-filing2/steps-for-e-filing.html,Help & FAQs > FAQs > E-Filing,Help & FAQs > FAQs > E-Filing > Steps for E-Filing,,0
3,Revised filing steps & FAQs of Form 3 LLP,/content/mca/global/en/help-faq/faqs/e-filing2/revised-filing-steps-faqs-of-form-3-llp.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/e-filing2/revised-filing-steps-faqs-of-form-3-llp.html,Help & FAQs > FAQs > E-Filing,Help & FAQs > FAQs > E-Filing > Revised filing steps & FAQs of Form 3 LLP,,0
3,Revised filing steps & FAQs of Form 11 LLP,/content/mca/global/en/help-faq/faqs/e-filing2/revised-filing-steps-faqs-of-form-11-llp.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/e-filing2/revised-filing-steps-faqs-of-form-11-llp.html,Help & FAQs > FAQs > E-Filing,Help & FAQs > FAQs > E-Filing > Revised filing steps & FAQs of Form 11 LLP,,0
3,Prerequisite Software For E-Filing,/content/mca/global/en/help-faq/faqs/e-filing2/prerequisite-software-for-e-filing.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/e-filing2/prerequisite-software-for-e-filing.html,Help & FAQs > FAQs > E-Filing,Help & FAQs > FAQs > E-Filing > Prerequisite Software For E-Filing,,0
2,Company Services,/content/mca/global/en/help-faq/faqs/company-services.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/company-services.html,Help & FAQs > FAQs,Help & FAQs > FAQs > Company Services,,7
3,Incorporation & Change services,/content/mca/global/en/help-faq/faqs/company-services/incorporation.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/company-services/incorporation.html,Help & FAQs > FAQs > Company Services,Help & FAQs > FAQs > Company Services > Incorporation & Change services,,4
4,SPICe+ & linked filings,/content/mca/global/en/help-faq/faqs/company-services/incorporation/spiceplus-linked-filings.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/company-services/incorporation/spiceplus-linked-filings.html,Help & FAQs > FAQs > Company Services > Incorporation & Change services,Help & FAQs > FAQs > Company Services > Incorporation & Change services > SPICe+ & linked filings,,0
4,One Person Company,/content/mca/global/en/help-faq/faqs/company-services/incorporation/one-person-company.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/company-services/incorporation/one-person-company.html,Help & FAQs > FAQs > Company Services > Incorporation & Change services,Help & FAQs > FAQs > Company Services > Incorporation & Change services > One Person Company,,0
4,AGILE-PRO-S Form,/content/mca/global/en/help-faq/faqs/company-services/incorporation/agile-pro-s-form.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/company-services/incorporation/agile-pro-s-form.html,Help & FAQs > FAQs > Company Services > Incorporation & Change services,Help & FAQs > FAQs > Company Services > Incorporation & Change services > AGILE-PRO-S Form,,0
4,Change Company Information,/content/mca/global/en/help-faq/faqs/company-services/incorporation/change-company-information.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/company-services/incorporation/change-company-information.html,Help & FAQs > FAQs > Company Services > Incorporation & Change services,Help & FAQs > FAQs > Company Services > Incorporation & Change services > Change Company Information,,0
3,DIN Related Forms,/content/mca/global/en/help-faq/faqs/company-services/din-related.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/company-services/din-related.html,Help & FAQs > FAQs > Company Services,Help & FAQs > FAQs > Company Services > DIN Related Forms,,1
4,DIR-3 KYC,/content/mca/global/en/help-faq/faqs/company-services/din-related/dir-3-kyc.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/company-services/din-related/dir-3-kyc.html,Help & FAQs > FAQs > Company Services > DIN Related Forms,Help & FAQs > FAQs > Company Services > DIN Related Forms > DIR-3 KYC,,0
3,Charge Management,/content/mca/global/en/help-faq/faqs/company-services/charge-management.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/company-services/charge-management.html,Help & FAQs > FAQs > Company Services,Help & FAQs > FAQs > Company Services > Charge Management,,0
3,Informational & Investor Services,/content/mca/global/en/help-faq/faqs/company-services/informational-services.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/company-services/informational-services.html,Help & FAQs > FAQs > Company Services,Help & FAQs > FAQs > Company Services > Informational & Investor Services,,0
3,Compliance Filing,/content/mca/global/en/help-faq/faqs/company-services/compliance-filing.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/company-services/compliance-filing.html,Help & FAQs > FAQs > Company Services,Help & FAQs > FAQs > Company Services > Compliance Filing,,0
3,Approval Services (ROC/RD/HQ),/content/mca/global/en/help-faq/faqs/company-services/approval-services.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/company-services/approval-services.html,Help & FAQs > FAQs > Company Services,Help & FAQs > FAQs > Company Services > Approval Services (ROC/RD/HQ),,0
3,Others,/content/mca/global/en/help-faq/faqs/company-services/others.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/company-services/others.html,Help & FAQs > FAQs > Company Services,Help & FAQs > FAQs > Company Services > Others,,0
2,User Registration & Login,/content/mca/global/en/help-faq/faqs/user-registration2.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/user-registration2.html,Help & FAQs > FAQs,Help & FAQs > FAQs > User Registration & Login,,0
2,Payment,/content/mca/global/en/help-faq/faqs/payment2.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/payment2.html,Help & FAQs > FAQs,Help & FAQs > FAQs > Payment,,6
3,Payment,/content/mca/global/en/help-faq/faqs/payment2/payment.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/payment2/payment.html,Help & FAQs > FAQs > Payment,Help & FAQs > FAQs > Payment > Payment,,0
3,List Of Authorised Banks,/content/mca/global/en/help-faq/faqs/payment2/list-of-authorised-banks.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/payment2/list-of-authorised-banks.html,Help & FAQs > FAQs > Payment,Help & FAQs > FAQs > Payment > List Of Authorised Banks,,0
3,Refund,/content/mca/global/en/help-faq/faqs/payment2/refund.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/payment2/refund.html,Help & FAQs > FAQs > Payment,Help & FAQs > FAQs > Payment > Refund,,0
3,Cancel SRN Due To Unsuccessful Payment,/content/mca/global/en/help-faq/faqs/payment2/cancel-srn-due-to-unsuccessful-payment.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/payment2/cancel-srn-due-to-unsuccessful-payment.html,Help & FAQs > FAQs > Payment,Help & FAQs > FAQs > Payment > Cancel SRN Due To Unsuccessful Payment,,0
