href,url,finalUrl,status,len,verdict
/content/mca/global/en/data-and-reports/rd-roc-info/proclaimed-offenders.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/rd-roc-info/proclaimed-offenders.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/rd-roc-info/proclaimed-offenders.html,200,15000,ACCESSIBLE
/content/mca/global/en/data-and-reports/rd-roc-info/disqualified-directors.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/rd-roc-info/disqualified-directors.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/rd-roc-info/disqualified-directors.html,200,15000,ACCESSIBLE
/content/mca/global/en/data-and-reports/rd-roc-info/roc-adjudication-orders.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/rd-roc-info/roc-adjudication-orders.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/rd-roc-info/roc-adjudication-orders.html,200,15000,ACCESSIBLE
/content/mca/global/en/data-and-reports/rd-roc-info/extension-agm.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/rd-roc-info/extension-agm.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/rd-roc-info/extension-agm.html,200,15000,ACCESSIBLE
/content/mca/global/en/data-and-reports/rd-roc-info/strike-off-notice.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/rd-roc-info/strike-off-notice.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/rd-roc-info/strike-off-notice.html,200,15000,ACCESSIBLE
/content/mca/global/en/data-and-reports/rd-roc-info/rd-adjudication-orders.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/rd-roc-info/rd-adjudication-orders.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/rd-roc-info/rd-adjudication-orders.html,200,15000,ACCESSIBLE
/content/mca/global/en/data-and-reports/rd-roc-info/rd-Compounding-orders.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/rd-roc-info/rd-Compounding-orders.html,https://www.mca.gov.in/content/mca/global/en/data-and-reports/rd-roc-info/rd-Compounding-orders.html,200,15000,ACCESSIBLE
/content/mca/global/en/help-faq.html,https://www.mca.gov.in/content/mca/global/en/help-faq.html,https://www.mca.gov.in/content/mca/global/en/help-faq.html,200,15000,ACCESSIBLE
/content/mca/global/en/help-faq/faqs.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs.html,200,15000,ACCESSIBLE
/content/mca/global/en/help-faq/faqs/e-filing2.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/e-filing2.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/e-filing2.html,200,15000,ACCESSIBLE
/content/mca/global/en/help-faq/faqs/e-filing2/steps-for-e-filing.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/e-filing2/steps-for-e-filing.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/e-filing2/steps-for-e-filing.html,200,15000,ACCESSIBLE
