text,href,domain,type
DIN Related Forms,/content/mca/global/en/mca/e-filing/din-related-forms.html,www.mca.gov.in (relative),INTERNAL
DIR-3 - Application for allotment of DIN,/content/mca/global/en/mca/e-filing/din-related-forms/form-dir3.html,www.mca.gov.in (relative),INTERNAL
DIR-3C - Intimation of DIN by the company,/content/mca/global/en/mca/e-filing/din-related-forms/form-dir3c.html,www.mca.gov.in (relative),INTERNAL
DIR-6 - Change in particulars of Director,/content/mca/global/en/mca/e-filing/din-related-forms/form-dir6.html,www.mca.gov.in (relative),INTERNAL
DIR-12 - Appointment of Directors and KMP,/content/mca/global/en/mca/e-filing/din-related-forms/form-dir12.html,www.mca.gov.in (relative),INTERNAL
DIR-3-KYC-WEB – Intimation of Changes or Reactivation of DIN,/content/mca/global/en/mca/e-filing/din-related-forms/form-dir3kycweb.html,www.mca.gov.in (relative),INTERNAL
DIR-11 - Resignation of a Director,/content/mca/global/en/mca/e-filing/din-related-forms/form-dir11.html,www.mca.gov.in (relative),INTERNAL
DIR-5 - Surrender of DIN,/content/mca/global/en/mca/e-filing/din-related-forms/form-dir5.html,www.mca.gov.in (relative),INTERNAL
DIR-10 – Removal of disqualification of directors,/content/mca/global/en/mca/e-filing/din-related-forms/DIR-10.html,www.mca.gov.in (relative),INTERNAL
DIR-9 - Disqualification of Directors,/content/mca/global/en/mca/e-filing/din-related-forms/DIR-9.html,www.mca.gov.in (relative),INTERNAL
Charge Management,/content/mca/global/en/mca/e-filing/charge-management.html,www.mca.gov.in (relative),INTERNAL
Form CHG-1 - Intimation of creation / modification of charge (other than those related to debentures),/content/mca/global/en/mca/e-filing/charge-management/form-chg1.html,www.mca.gov.in (relative),INTERNAL
Form CHG-4 - Intimation of satisfaction of charge,/content/mca/global/en/mca/e-filing/charge-management/form-chg4.html,www.mca.gov.in (relative),INTERNAL
Form CHG-6 - Intimation of appointment / cessation of receiver / manager,/content/mca/global/en/mca/e-filing/charge-management/form-chg6.html,www.mca.gov.in (relative),INTERNAL
Form CHG-8 - RD approval for delay in creation / modification / rectification of charge,/content/mca/global/en/mca/e-filing/charge-management/form-chg8.html,www.mca.gov.in (relative),INTERNAL
Form CHG-9 - Intimation for registration of creation or modification of charge for debentures or rectification of partic,/content/mca/global/en/mca/e-filing/charge-management/form-chg9.html,www.mca.gov.in (relative),INTERNAL
